name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
PUMDENA,3,0.0440228,2.91195,3.08805,3.00004,0.0435532,2.91293,3.08715
LITHDENA,3.41497,0.0167367,3.3815,3.44845,3.41496,0.0167191,3.38153,3.4484
MEDIAN_GA,-0.25,0.5,-1.25,0.75,-0.244977,0.172868,-0.590712,0.100759
FALL_TIMA,2,1,0,4,2,1,3.49509e-011,4
PLUME_HEA,3.90309,0.0554622,3.79217,4.01401,3.90293,0.0459486,3.81104,3.99483
DIFFUSIOA,3,0.86928,1.26144,4.73856,3,0.86928,1.26144,4.73856
WD_A_00,2.6902,0.0607595,2.56868,2.81172,2.6902,0.0607595,2.56868,2.81172
WD_A_01,2.6902,0.0607595,2.56868,2.81172,2.68916,0.0150634,2.65904,2.71929
WD_A_02,2.6902,0.0607595,2.56868,2.81172,2.68905,0.00745611,2.67414,2.70396
WD_A_03,2.6902,0.0607595,2.56868,2.81172,2.69209,0.00504833,2.68199,2.70219
WD_A_04,2.6902,0.0607595,2.56868,2.81172,2.69326,0.00513417,2.683,2.70353
WD_A_05,2.6902,0.0607595,2.56868,2.81172,2.69367,0.0057718,2.68213,2.70522
WD_A_06,2.6902,0.0607595,2.56868,2.81172,2.69386,0.00702359,2.67982,2.70791
WD_A_07,2.6902,0.0607595,2.56868,2.81172,2.69232,0.0111435,2.67003,2.71461
WD_A_08,2.6902,0.0607595,2.56868,2.81172,2.69047,0.0332464,2.62398,2.75696
WD_A_09,2.6902,0.0607595,2.56868,2.81172,2.6902,0.0607595,2.56868,2.81172
WD_A_10,2.6902,0.0607595,2.56868,2.81172,2.6902,0.0607595,2.56868,2.81172
WS_A_00,0.69897,0.444538,-0.190106,1.58805,0.69897,0.444538,-0.190106,1.58805
WS_A_01,0.69897,0.444538,-0.190106,1.58805,0.691708,0.372852,-0.0539964,1.43741
WS_A_02,1,0.475772,0.048455,1.95154,0.975094,0.18968,0.595734,1.35445
WS_A_03,1.17609,0.519795,0.136501,2.21568,1.15353,0.165613,0.822305,1.48476
WS_A_04,1.30103,0.519795,0.261439,2.34062,1.2885,0.14675,0.994998,1.582
WS_A_05,1.47712,0.519795,0.437531,2.51671,1.47444,0.142128,1.19018,1.7587
WS_A_06,1.60206,0.519795,0.562469,2.64165,1.61318,0.118959,1.37526,1.8511
WS_A_07,1.69897,0.519795,0.659379,2.73856,1.70992,0.136595,1.43673,1.98311
WS_A_08,1.77815,0.519795,0.738561,2.81774,1.78099,0.242579,1.29583,2.26615
WS_A_09,1.8451,0.519795,0.805507,2.88469,1.8451,0.519795,0.805507,2.88469
WS_A_10,1.90309,0.519795,0.863499,2.94268,1.90309,0.519795,0.863499,2.94268
STD_GRAIA,0.30103,0.11928,0.0624694,0.539591,0.304392,0.0350436,0.234304,0.374479
ALPHAA,0,0.75,-1.5,1.5,-0.187978,0.246892,-0.681763,0.305807
EDDY_CONA,-1.39794,0.488561,-2.37506,-0.420819,-1.37195,0.128625,-1.6292,-1.11471
ERUPTIONA,10.7404,1,8.74036,12.7404,10.165,0.12647,9.91209,10.418
